mode,mae_mean,mae_std,rmse_mean,rmse_std,n
station_month_bias,0.2698533457738382,0.0005994722427229372,0.3917223667656934,0.001172031350105799,27
linear,0.37815257134260954,0.0008060614881645027,0.5374999973509047,0.001425496317685702,27
mean_bias,0.38105777899424237,0.0008152394101894113,0.54766567768874,0.001436728964038412,27
none,0.3873777742739077,0.0010226417505937073,0.5686983951815853,0.0014844144539620874,27
