config,run_name,pattern,rate,seed,mode,mae_T,rmse_T,mae_RH,rmse_RH,mae_wspd,rmse_wspd,mae_P,rmse_P,mae_q,rmse_q,mae_mean,rmse_mean
experiments/configs/round1/era5_direct_long_r20_s42.yaml,era5_direct_long_r20_s42,long,0.2,42,none,0.20581242442131042,0.2736485004425049,0.7073184251785278,0.9007782936096191,0.5123983025550842,0.8942798376083374,0.21423746645450592,0.3559892773628235,0.28807416558265686,0.419505774974823,0.38556814193725586,0.5688403844833374
experiments/configs/round1/era5_direct_long_r20_s42.yaml,era5_direct_long_r20_s42,long,0.2,42,mean_bias,0.20433710515499115,0.27205097675323486,0.6919001936912537,0.881886899471283,0.5115327835083008,0.8462157249450684,0.21617379784584045,0.35208019614219666,0.2776532471179962,0.3908376097679138,0.38031941652297974,0.5486142635345459
experiments/configs/round1/era5_direct_long_r20_s42.yaml,era5_direct_long_r20_s42,long,0.2,42,linear,0.2036563903093338,0.27039068937301636,0.6798093914985657,0.8328754305839539,0.5064549446105957,0.8467594385147095,0.21972046792507172,0.3512335419654846,0.2778972387313843,0.3908928334712982,0.37750768661499023,0.538430392742157
experiments/configs/round1/era5_direct_long_r20_s43.yaml,era5_direct_long_r20_s43,long,0.2,43,none,0.20633502304553986,0.27493512630462646,0.7080897688865662,0.90081787109375,0.5106398463249207,0.8924428820610046,0.21497753262519836,0.3568318784236908,0.28776514530181885,0.41793811321258545,0.385561466217041,0.5685931444168091
experiments/configs/round1/era5_direct_long_r20_s43.yaml,era5_direct_long_r20_s43,long,0.2,43,mean_bias,0.20443563163280487,0.27294719219207764,0.6921833753585815,0.8813884854316711,0.5096611380577087,0.8445955514907837,0.2170063555240631,0.35298097133636475,0.2768767774105072,0.38921236991882324,0.38003265857696533,0.548224925994873
experiments/configs/round1/era5_direct_long_r20_s43.yaml,era5_direct_long_r20_s43,long,0.2,43,linear,0.20379109680652618,0.27125516533851624,0.6787064075469971,0.8315221071243286,0.5047008991241455,0.8453166484832764,0.22053276002407074,0.3521735668182373,0.2771136164665222,0.38926631212234497,0.37696895003318787,0.5379067659378052
experiments/configs/round1/era5_direct_long_r20_s44.yaml,era5_direct_long_r20_s44,long,0.2,44,none,0.20514921844005585,0.27300921082496643,0.7093063592910767,0.9023690819740295,0.5070893168449402,0.8814817667007446,0.21569548547267914,0.35727253556251526,0.2878274619579315,0.41743233799934387,0.38501355051994324,0.5663129687309265
experiments/configs/round1/era5_direct_long_r20_s44.yaml,era5_direct_long_r20_s44,long,0.2,44,mean_bias,0.20355170965194702,0.27096834778785706,0.6926171183586121,0.8820316195487976,0.5065338015556335,0.8342951536178589,0.21760424971580505,0.35349950194358826,0.27648863196372986,0.38867345452308655,0.3793591260910034,0.5458935499191284
experiments/configs/round1/era5_direct_long_r20_s44.yaml,era5_direct_long_r20_s44,long,0.2,44,linear,0.2029055804014206,0.26948443055152893,0.6786492466926575,0.8315445184707642,0.501973569393158,0.8348087072372437,0.22111789882183075,0.3527023196220398,0.2767111659049988,0.3887106478214264,0.376271516084671,0.5354501008987427
experiments/configs/round1/era5_direct_long_r40_s42.yaml,era5_direct_long_r40_s42,long,0.4,42,none,0.20552510023117065,0.2724814713001251,0.7093773484230042,0.9019393920898438,0.5160513520240784,0.8948028087615967,0.21927988529205322,0.3606930077075958,0.28845304250717163,0.41857829689979553,0.38773733377456665,0.5696989893913269
experiments/configs/round1/era5_direct_long_r40_s42.yaml,era5_direct_long_r40_s42,long,0.4,42,mean_bias,0.20361118018627167,0.27011919021606445,0.6930392980575562,0.8824113607406616,0.5126602053642273,0.8451069593429565,0.22151519358158112,0.3566604256629944,0.2766595780849457,0.389291912317276,0.3814970850944519,0.5487179756164551
experiments/configs/round1/era5_direct_long_r40_s42.yaml,era5_direct_long_r40_s42,long,0.4,42,linear,0.2028568685054779,0.26852133870124817,0.6801770329475403,0.8330732583999634,0.5079574584960938,0.8463731408119202,0.2251114547252655,0.35594847798347473,0.2768843173980713,0.3893163502216339,0.3785974383354187,0.5386465191841125
experiments/configs/round1/era5_direct_long_r40_s43.yaml,era5_direct_long_r40_s43,long,0.4,43,none,0.2055255025625229,0.27255016565322876,0.7091755270957947,0.9018157124519348,0.5137894153594971,0.893161952495575,0.21951967477798462,0.36081331968307495,0.28884270787239075,0.41884738206863403,0.3873705267906189,0.5694377422332764
experiments/configs/round1/era5_direct_long_r40_s43.yaml,era5_direct_long_r40_s43,long,0.4,43,mean_bias,0.20333819091320038,0.269862562417984,0.6927381157875061,0.8820391297340393,0.5117118954658508,0.8444468975067139,0.22160129249095917,0.3566601574420929,0.27681946754455566,0.3889562487602234,0.3812417984008789,0.5483930110931396
experiments/configs/round1/era5_direct_long_r40_s43.yaml,era5_direct_long_r40_s43,long,0.4,43,linear,0.20249755680561066,0.2681504487991333,0.6798063516616821,0.8323739171028137,0.5071538090705872,0.8457539677619934,0.22522218525409698,0.35596799850463867,0.27704161405563354,0.3889886438846588,0.37834432721138,0.5382469892501831
experiments/configs/round1/era5_direct_long_r40_s44.yaml,era5_direct_long_r40_s44,long,0.4,44,none,0.20528675615787506,0.2723240554332733,0.7117428779602051,0.9041591286659241,0.5132263898849487,0.890354335308075,0.21916230022907257,0.36011943221092224,0.28816190361976624,0.41736900806427,0.3875160813331604,0.568865180015564
experiments/configs/round1/era5_direct_long_r40_s44.yaml,era5_direct_long_r40_s44,long,0.4,44,mean_bias,0.20353467762470245,0.26985636353492737,0.6949639320373535,0.8842967748641968,0.5112990140914917,0.8416863083839417,0.2213364839553833,0.35595133900642395,0.2763415277004242,0.3879932761192322,0.3814951479434967,0.5479568243026733
experiments/configs/round1/era5_direct_long_r40_s44.yaml,era5_direct_long_r40_s44,long,0.4,44,linear,0.20276279747486115,0.26820117235183716,0.6802220940589905,0.8332417011260986,0.5068337321281433,0.8429027795791626,0.22497622668743134,0.3552732765674591,0.2765612304210663,0.3880217373371124,0.378271222114563,0.5375281572341919
experiments/configs/round1/era5_direct_long_r60_s42.yaml,era5_direct_long_r60_s42,long,0.6,42,none,0.20556093752384186,0.2735263407230377,0.7113921046257019,0.9041438698768616,0.5100128054618835,0.8809678554534912,0.21740283071994781,0.35749760270118713,0.2881201505661011,0.41777151823043823,0.38649776577949524,0.5667814612388611
experiments/configs/round1/era5_direct_long_r60_s42.yaml,era5_direct_long_r60_s42,long,0.6,42,mean_bias,0.20419692993164062,0.27172061800956726,0.6941397786140442,0.8832030892372131,0.506950318813324,0.8323617577552795,0.21980202198028564,0.35332226753234863,0.27619802951812744,0.3882560133934021,0.38025742769241333,0.5457727313041687
experiments/configs/round1/era5_direct_long_r60_s42.yaml,era5_direct_long_r60_s42,long,0.6,42,linear,0.2036421298980713,0.27042800188064575,0.6806919574737549,0.8330544829368591,0.5027813911437988,0.8333956003189087,0.22369930148124695,0.3528149127960205,0.2764205038547516,0.38827866315841675,0.37744706869125366,0.5355943441390991
experiments/configs/round1/era5_direct_long_r60_s43.yaml,era5_direct_long_r60_s43,long,0.6,43,none,0.20554041862487793,0.27363109588623047,0.7125309109687805,0.9050543904304504,0.50944584608078,0.8812807202339172,0.21709832549095154,0.35719236731529236,0.2873869240283966,0.4157105088233948,0.3864004909992218,0.5665737986564636
experiments/configs/round1/era5_direct_long_r60_s43.yaml,era5_direct_long_r60_s43,long,0.6,43,mean_bias,0.2040148377418518,0.2715938091278076,0.6951411366462708,0.884185791015625,0.5074697732925415,0.8332610130310059,0.21946486830711365,0.35296592116355896,0.27554962038993835,0.3862074017524719,0.38032805919647217,0.5456427335739136
experiments/configs/round1/era5_direct_long_r60_s43.yaml,era5_direct_long_r60_s43,long,0.6,43,linear,0.2034333050251007,0.27027684450149536,0.6813909411430359,0.8338867425918579,0.5031985640525818,0.8343342542648315,0.2233538031578064,0.35245370864868164,0.27577200531959534,0.38623446226119995,0.377429723739624,0.5354372262954712
experiments/configs/round1/era5_direct_long_r60_s44.yaml,era5_direct_long_r60_s44,long,0.6,44,none,0.205984964966774,0.27408725023269653,0.7128833532333374,0.9054925441741943,0.5115318298339844,0.882617175579071,0.21723303198814392,0.35699206590652466,0.2883879244327545,0.41666319966316223,0.38720422983169556,0.5671704411506653
experiments/configs/round1/era5_direct_long_r60_s44.yaml,era5_direct_long_r60_s44,long,0.6,44,mean_bias,0.2045087218284607,0.2720153331756592,0.6954888105392456,0.8846973180770874,0.5088385939598083,0.8342035412788391,0.21955955028533936,0.35280799865722656,0.27592507004737854,0.38671445846557617,0.3808641731739044,0.5460877418518066
experiments/configs/round1/era5_direct_long_r60_s44.yaml,era5_direct_long_r60_s44,long,0.6,44,linear,0.20399892330169678,0.2708243727684021,0.6817799806594849,0.834431529045105,0.5043849349021912,0.8351266980171204,0.22342616319656372,0.35229262709617615,0.27614736557006836,0.3867407441139221,0.37794747948646545,0.5358831882476807
experiments/configs/round1/era5_direct_medium_r20_s42.yaml,era5_direct_medium_r20_s42,medium,0.2,42,none,0.2074248492717743,0.27558454871177673,0.7133198380470276,0.9049036502838135,0.5225266218185425,0.9062432050704956,0.2196691483259201,0.36034560203552246,0.2850012183189392,0.41299548745155334,0.389588326215744,0.5720144510269165
