run_name,config,checkpoint,train_pattern,test_pattern,rate,seed,mae_T,rmse_T,mae_RH,rmse_RH,mae_wspd,rmse_wspd,mae_P,rmse_P,mae_q,rmse_q,mae_mean,rmse_mean
ecbit_no_blockmask_long_r20_s42,experiments/configs/round2_gated/ecbit_no_blockmask_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_long_r20_s42/best.pt,mcar,long,0.2,42,0.3911595046520233,0.4992387890815735,0.7696042656898499,1.0094423294067383,0.7166386246681213,0.9373160004615784,0.3074885308742523,0.3723466396331787,0.46886777877807617,0.5876463651657104,0.5307517051696777,0.681198000907898
ecbit_no_blockmask_long_r20_s43,experiments/configs/round2_gated/ecbit_no_blockmask_long_r20_s43.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_long_r20_s43/best.pt,mcar,long,0.2,43,0.37318289279937744,0.47635674476623535,0.7234341502189636,0.9500849843025208,0.643028974533081,0.8712354898452759,0.28455811738967896,0.3442116677761078,0.4398868978023529,0.5791990756988525,0.4928182065486908,0.6442176103591919
ecbit_no_blockmask_long_r20_s44,experiments/configs/round2_gated/ecbit_no_blockmask_long_r20_s44.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_long_r20_s44/best.pt,mcar,long,0.2,44,0.3941475450992584,0.5068824887275696,0.7363215088844299,0.9696464538574219,0.6974963545799255,0.9120326638221741,0.28148937225341797,0.3511890172958374,0.4645477831363678,0.584417998790741,0.514800488948822,0.6648337244987488
ecbit_no_blockmask_long_r40_s42,experiments/configs/round2_gated/ecbit_no_blockmask_long_r40_s42.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_long_r40_s42/best.pt,mcar,long,0.4,42,0.33846884965896606,0.44143009185791016,0.6609843373298645,0.8748336434364319,0.6450944542884827,0.8798536658287048,0.2484627664089203,0.3086206018924713,0.38738957047462463,0.5212739706039429,0.45607995986938477,0.6052024364471436
ecbit_no_blockmask_long_r40_s43,experiments/configs/round2_gated/ecbit_no_blockmask_long_r40_s43.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_long_r40_s43/best.pt,mcar,long,0.4,43,0.3643482029438019,0.4728170931339264,0.6682367324829102,0.879511296749115,0.641672670841217,0.8744932413101196,0.26752546429634094,0.33849209547042847,0.42033717036247253,0.5675621032714844,0.4724240303039551,0.6265751123428345
ecbit_no_blockmask_long_r40_s44,experiments/configs/round2_gated/ecbit_no_blockmask_long_r40_s44.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_long_r40_s44/best.pt,mcar,long,0.4,44,0.38034021854400635,0.4938952624797821,0.6683703064918518,0.8786416053771973,0.639152467250824,0.8791495561599731,0.24439047276973724,0.3121178448200226,0.42153361439704895,0.560133159160614,0.4707574248313904,0.624787449836731
ecbit_no_blockmask_long_r60_s42,experiments/configs/round2_gated/ecbit_no_blockmask_long_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_long_r60_s42/best.pt,mcar,long,0.6,42,0.3145866394042969,0.4194727838039398,0.619971513748169,0.8186348676681519,0.5844104886054993,0.8307387828826904,0.226435124874115,0.301204651594162,0.34216782450675964,0.4733597934246063,0.4175143241882324,0.5686821937561035
ecbit_no_blockmask_long_r60_s43,experiments/configs/round2_gated/ecbit_no_blockmask_long_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_long_r60_s43/best.pt,mcar,long,0.6,43,0.32549500465393066,0.43751710653305054,0.6139726638793945,0.8076160550117493,0.5893668532371521,0.8287433385848999,0.218232199549675,0.3040212392807007,0.3636329174041748,0.4927622377872467,0.4221399426460266,0.5741320848464966
ecbit_no_blockmask_long_r60_s44,experiments/configs/round2_gated/ecbit_no_blockmask_long_r60_s44.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_long_r60_s44/best.pt,mcar,long,0.6,44,0.3444735109806061,0.44882819056510925,0.6330877542495728,0.8305651545524597,0.6011599898338318,0.8527916073799133,0.2534497380256653,0.3449886739253998,0.3666055202484131,0.5030785799026489,0.43975529074668884,0.5960503816604614
ecbit_no_blockmask_medium_r20_s42,experiments/configs/round2_gated/ecbit_no_blockmask_medium_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_medium_r20_s42/best.pt,mcar,medium,0.2,42,0.3534459173679352,0.45495250821113586,0.650461733341217,0.8450299501419067,0.6608654260635376,0.8738623261451721,0.2697135806083679,0.3336847126483917,0.45408931374549866,0.5533037781715393,0.4777151942253113,0.6121666431427002
ecbit_no_blockmask_medium_r20_s43,experiments/configs/round2_gated/ecbit_no_blockmask_medium_r20_s43.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_medium_r20_s43/best.pt,mcar,medium,0.2,43,0.34993603825569153,0.4458959102630615,0.6479399800300598,0.8432644605636597,0.6408819556236267,0.8557055592536926,0.25158601999282837,0.30958569049835205,0.43943631649017334,0.5409536957740784,0.46595606207847595,0.5990810394287109
ecbit_no_blockmask_medium_r20_s44,experiments/configs/round2_gated/ecbit_no_blockmask_medium_r20_s44.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_medium_r20_s44/best.pt,mcar,medium,0.2,44,0.34976306557655334,0.44767454266548157,0.6534348130226135,0.8503078818321228,0.6570615768432617,0.8677141666412354,0.2475448101758957,0.31063857674598694,0.44884932041168213,0.5487470030784607,0.4713307023048401,0.6050164699554443
ecbit_no_blockmask_medium_r40_s42,experiments/configs/round2_gated/ecbit_no_blockmask_medium_r40_s42.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_medium_r40_s42/best.pt,mcar,medium,0.4,42,0.28670334815979004,0.37137478590011597,0.5702764391899109,0.7434241771697998,0.5915715098381042,0.8178520202636719,0.20268644392490387,0.24842728674411774,0.3608686923980713,0.4749487638473511,0.40242132544517517,0.531205415725708
ecbit_no_blockmask_medium_r40_s43,experiments/configs/round2_gated/ecbit_no_blockmask_medium_r40_s43.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_medium_r40_s43/best.pt,mcar,medium,0.4,43,0.3030341565608978,0.3901664614677429,0.5758748054504395,0.7488345503807068,0.6050424575805664,0.8303117752075195,0.2112177312374115,0.26075997948646545,0.3846159875392914,0.5007016658782959,0.4159570336341858,0.5461549162864685
ecbit_no_blockmask_medium_r40_s44,experiments/configs/round2_gated/ecbit_no_blockmask_medium_r40_s44.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_medium_r40_s44/best.pt,mcar,medium,0.4,44,0.30102649331092834,0.3885396718978882,0.5690597891807556,0.7433144450187683,0.5882385969161987,0.8112926483154297,0.19820261001586914,0.2468644678592682,0.3772655725479126,0.4938460886478424,0.4067586064338684,0.5367714762687683
ecbit_no_blockmask_medium_r60_s42,experiments/configs/round2_gated/ecbit_no_blockmask_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_medium_r60_s42/best.pt,mcar,medium,0.6,42,0.2612683176994324,0.34441325068473816,0.5392513871192932,0.7087547183036804,0.5328046679496765,0.7747323513031006,0.1802125871181488,0.2270784229040146,0.307107150554657,0.4279424548149109,0.36412885785102844,0.4965842366218567
ecbit_no_blockmask_medium_r60_s43,experiments/configs/round2_gated/ecbit_no_blockmask_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_medium_r60_s43/best.pt,mcar,medium,0.6,43,0.25978073477745056,0.3478662073612213,0.538582980632782,0.7044724225997925,0.5380633473396301,0.7798008322715759,0.17355641722679138,0.22556273639202118,0.3156692087650299,0.43506449460983276,0.36513054370880127,0.4985533654689789
ecbit_no_blockmask_medium_r60_s44,experiments/configs/round2_gated/ecbit_no_blockmask_medium_r60_s44.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_medium_r60_s44/best.pt,mcar,medium,0.6,44,0.2777497172355652,0.3640397787094116,0.5486442446708679,0.7168023586273193,0.5431787371635437,0.7886059284210205,0.18994174897670746,0.2441108077764511,0.31989043951034546,0.44179221987724304,0.37588098645210266,0.511070191860199
ecbit_no_blockmask_short_r20_s42,experiments/configs/round2_gated/ecbit_no_blockmask_short_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_short_r20_s42/best.pt,mcar,short,0.2,42,0.27114441990852356,0.35658448934555054,0.5310879945755005,0.6881208419799805,0.5441442131996155,0.7582470774650574,0.20705796778202057,0.25642600655555725,0.35109496116638184,0.4462756812572479,0.3809059262275696,0.5011308193206787
ecbit_no_blockmask_short_r20_s43,experiments/configs/round2_gated/ecbit_no_blockmask_short_r20_s43.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_short_r20_s43/best.pt,mcar,short,0.2,43,0.2695903480052948,0.35163459181785583,0.5326062440872192,0.6887998580932617,0.5347351431846619,0.7583292722702026,0.19547149538993835,0.24089078605175018,0.3441835343837738,0.44260960817337036,0.37531739473342896,0.49645280838012695
ecbit_no_blockmask_short_r20_s44,experiments/configs/round2_gated/ecbit_no_blockmask_short_r20_s44.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_short_r20_s44/best.pt,mcar,short,0.2,44,0.27309373021125793,0.3543640971183777,0.536034345626831,0.6947249174118042,0.5407009124755859,0.7546164393424988,0.19898055493831635,0.2441670149564743,0.3556380569934845,0.45163050293922424,0.38088950514793396,0.4999006390571594
ecbit_no_blockmask_short_r40_s42,experiments/configs/round2_gated/ecbit_no_blockmask_short_r40_s42.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_short_r40_s42/best.pt,mcar,short,0.4,42,0.2247079759836197,0.295465886592865,0.4816402494907379,0.6291396021842957,0.5027124881744385,0.7255880236625671,0.14455890655517578,0.18230855464935303,0.29252249002456665,0.3927280902862549,0.3292284309864044,0.4450460374355316
ecbit_no_blockmask_short_r40_s43,experiments/configs/round2_gated/ecbit_no_blockmask_short_r40_s43.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_short_r40_s43/best.pt,mcar,short,0.4,43,0.22633510828018188,0.29699909687042236,0.48667725920677185,0.635133683681488,0.5035004019737244,0.7273343801498413,0.14795641601085663,0.18674373626708984,0.2999410927295685,0.403329998254776,0.3328820765018463,0.44990816712379456
ecbit_no_blockmask_short_r40_s44,experiments/configs/round2_gated/ecbit_no_blockmask_short_r40_s44.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_short_r40_s44/best.pt,mcar,short,0.4,44,0.22598236799240112,0.29621827602386475,0.48139142990112305,0.6292131543159485,0.4997345507144928,0.7233404517173767,0.14286723732948303,0.18003718554973602,0.29596877098083496,0.3998827636241913,0.32918888330459595,0.44573840498924255
ecbit_no_blockmask_short_r60_s42,experiments/configs/round2_gated/ecbit_no_blockmask_short_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_short_r60_s42/best.pt,mcar,short,0.6,42,0.19865255057811737,0.2593918442726135,0.45550185441970825,0.6009565591812134,0.46653759479522705,0.6974310278892517,0.11819474399089813,0.15402108430862427,0.25356149673461914,0.3573271632194519,0.29848963022232056,0.41382551193237305
ecbit_no_blockmask_short_r60_s43,experiments/configs/round2_gated/ecbit_no_blockmask_short_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_short_r60_s43/best.pt,mcar,short,0.6,43,0.193801611661911,0.25474515557289124,0.4611402153968811,0.6062638163566589,0.4652442932128906,0.6934896111488342,0.11780750006437302,0.153427854180336,0.25440120697021484,0.3588274121284485,0.29847896099090576,0.41335076093673706
ecbit_no_blockmask_short_r60_s44,experiments/configs/round2_gated/ecbit_no_blockmask_short_r60_s44.yaml,experiments/results/metrics/round2_gated/ecbit_no_blockmask_short_r60_s44/best.pt,mcar,short,0.6,44,0.20424647629261017,0.267052561044693,0.46290212869644165,0.6078621745109558,0.4686168432235718,0.6988250613212585,0.12414983659982681,0.15968722105026245,0.25768914818763733,0.3619033992290497,0.3035208582878113,0.41906610131263733
