station_id,pattern,rate,seed,sabc_mae,baseline_mae,improvement
butcher_ridge,long,0.4,42,0.2913650572299957,0.3101098835468292,0.018744826316833496
butcher_ridge,long,0.4,43,0.29678860306739807,0.30150285363197327,0.004714250564575195
butcher_ridge,long,0.4,44,0.2835181653499603,0.31124117970466614,0.02772301435470581
butcher_ridge,medium,0.4,42,0.28980621695518494,0.2837083041667938,-0.006097912788391113
butcher_ridge,medium,0.4,43,0.2880203127861023,0.28893300890922546,0.0009126961231231689
butcher_ridge,medium,0.4,44,0.28891700506210327,0.2864711582660675,-0.0024458467960357666
butcher_ridge,short,0.4,42,0.2652583122253418,0.2737935185432434,0.008535206317901611
butcher_ridge,short,0.4,43,0.2698292136192322,0.27820804715156555,0.008378833532333374
butcher_ridge,short,0.4,44,0.2724844813346863,0.2719632089138031,-0.0005212724208831787
mount_sidley,long,0.4,42,0.36151862144470215,0.3584425449371338,-0.0030760765075683594
mount_sidley,long,0.4,43,0.3612960875034332,0.344234824180603,-0.0170612633228302
mount_sidley,long,0.4,44,0.3568582534790039,0.33728793263435364,-0.01957032084465027
mount_sidley,medium,0.4,42,0.34025445580482483,0.32479530572891235,-0.015459150075912476
mount_sidley,medium,0.4,43,0.33191952109336853,0.3247030973434448,-0.007216423749923706
mount_sidley,medium,0.4,44,0.3348540663719177,0.32570213079452515,-0.009151935577392578
mount_sidley,short,0.4,42,0.3188960552215576,0.3144640326499939,-0.004432022571563721
mount_sidley,short,0.4,43,0.31534311175346375,0.31692907214164734,0.0015859603881835938
mount_sidley,short,0.4,44,0.32076871395111084,0.3076968789100647,-0.013071835041046143
nico,long,0.4,42,0.1818726807832718,0.16804327070713043,-0.013829410076141357
nico,long,0.4,43,0.1902301013469696,0.1607947051525116,-0.029435396194458008
nico,long,0.4,44,0.21663756668567657,0.16092786192893982,-0.055709704756736755
nico,medium,0.4,42,0.14941853284835815,0.14258234202861786,-0.006836190819740295
nico,medium,0.4,43,0.14785557985305786,0.13724353909492493,-0.010612040758132935
nico,medium,0.4,44,0.15575255453586578,0.13386105000972748,-0.021891504526138306
nico,short,0.4,42,0.1349082887172699,0.13626694679260254,0.0013586580753326416
nico,short,0.4,43,0.13676483929157257,0.1293841004371643,-0.007380738854408264
nico,short,0.4,44,0.139319509267807,0.12703505158424377,-0.012284457683563232
sabrina,long,0.4,42,0.22623245418071747,0.24870948493480682,0.022477030754089355
sabrina,long,0.4,43,0.23086950182914734,0.24535229802131653,0.01448279619216919
sabrina,long,0.4,44,0.2296522855758667,0.2427356243133545,0.013083338737487793
sabrina,medium,0.4,42,0.22757330536842346,0.23810362815856934,0.010530322790145874
sabrina,medium,0.4,43,0.22598214447498322,0.23914022743701935,0.013158082962036133
sabrina,medium,0.4,44,0.23247691988945007,0.2398844063282013,0.007407486438751221
sabrina,short,0.4,42,0.22893519699573517,0.23413197696208954,0.00519677996635437
sabrina,short,0.4,43,0.22179380059242249,0.23049136996269226,0.008697569370269775
sabrina,short,0.4,44,0.2278202772140503,0.22969110310077667,0.0018708258867263794
zhongshan,long,0.4,42,0.3455406725406647,0.3139806389808655,-0.031560033559799194
zhongshan,long,0.4,43,0.3257938027381897,0.3060954213142395,-0.019698381423950195
zhongshan,long,0.4,44,0.33321160078048706,0.30666422843933105,-0.026547372341156006
zhongshan,medium,0.4,42,0.2923741638660431,0.2950259745121002,0.002651810646057129
zhongshan,short,0.4,42,0.27025583386421204,0.26735517382621765,-0.0029006600379943848
