run_name,model,variant,station_id,pattern,rate,seed,result_path,mae_mean,rmse_mean,mae_T,mae_RH,mae_wspd,mae_P,mae_q,rmse_T,rmse_RH,rmse_wspd,rmse_P,rmse_q,best_epoch,val_mae_mean
gated_baseline_heldout_butcher_ridge_long_r40_s42,ecbit,gated_baseline,butcher_ridge,long,0.4,42,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_butcher_ridge_long_r40_s42/result.json,0.3101098835468292,0.40217962861061096,0.2851718068122864,0.4520381689071655,0.6017429828643799,0.0657176524400711,0.14587871730327606,0.36826586723327637,0.5591134428977966,0.8116012811660767,0.08203800767660141,0.1898794174194336,45,0.2609039843082428
gated_baseline_heldout_butcher_ridge_long_r40_s43,ecbit,gated_baseline,butcher_ridge,long,0.4,43,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_butcher_ridge_long_r40_s43/result.json,0.30150285363197327,0.3904995918273926,0.2808065116405487,0.4250878095626831,0.5976059436798096,0.0688566043972969,0.13515739142894745,0.36356526613235474,0.537237823009491,0.7853638529777527,0.08684015274047852,0.17949092388153076,44,0.2602618634700775
gated_baseline_heldout_butcher_ridge_long_r40_s44,ecbit,gated_baseline,butcher_ridge,long,0.4,44,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_butcher_ridge_long_r40_s44/result.json,0.31124117970466614,0.4009861946105957,0.27819955348968506,0.4369264245033264,0.6161482334136963,0.0938003808259964,0.13113129138946533,0.3547390103340149,0.5486222505569458,0.8135579824447632,0.1118738129734993,0.1761380136013031,44,0.2599537968635559
gated_baseline_heldout_butcher_ridge_medium_r40_s42,ecbit,gated_baseline,butcher_ridge,medium,0.4,42,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_butcher_ridge_medium_r40_s42/result.json,0.2837083041667938,0.36909252405166626,0.25502562522888184,0.37396955490112305,0.5930107831954956,0.06956010311841965,0.12697552144527435,0.3325144052505493,0.48038968443870544,0.7753380537033081,0.08842343091964722,0.16879698634147644,45,0.253909707069397
gated_baseline_heldout_butcher_ridge_medium_r40_s43,ecbit,gated_baseline,butcher_ridge,medium,0.4,43,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_butcher_ridge_medium_r40_s43/result.json,0.28893300890922546,0.3735610544681549,0.25310570001602173,0.3944377899169922,0.5911636352539062,0.08024463057518005,0.12571321427822113,0.32572636008262634,0.5121183395385742,0.7685714364051819,0.09692166745662689,0.16446752846240997,45,0.2536833882331848
gated_baseline_heldout_butcher_ridge_medium_r40_s44,ecbit,gated_baseline,butcher_ridge,medium,0.4,44,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_butcher_ridge_medium_r40_s44/result.json,0.2864711582660675,0.37241774797439575,0.250839501619339,0.3824705183506012,0.6170664429664612,0.05446852371096611,0.12751075625419617,0.3220936059951782,0.49504563212394714,0.8049641251564026,0.06954919546842575,0.17043618857860565,49,0.25516992807388306
gated_baseline_heldout_butcher_ridge_short_r40_s42,ecbit,gated_baseline,butcher_ridge,short,0.4,42,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_butcher_ridge_short_r40_s42/result.json,0.2737935185432434,0.3542732298374176,0.23497332632541656,0.3594905138015747,0.5726022720336914,0.0769590511918068,0.12494255602359772,0.30093464255332947,0.4679592251777649,0.7434626221656799,0.0950300544500351,0.16397958993911743,47,0.24572929739952087
gated_baseline_heldout_butcher_ridge_short_r40_s43,ecbit,gated_baseline,butcher_ridge,short,0.4,43,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_butcher_ridge_short_r40_s43/result.json,0.27820804715156555,0.35827121138572693,0.2418912947177887,0.3553132116794586,0.595235288143158,0.07721741497516632,0.12138303369283676,0.3124617040157318,0.4612438976764679,0.7633252739906311,0.09524697065353394,0.15907815098762512,46,0.24536314606666565
gated_baseline_heldout_butcher_ridge_short_r40_s44,ecbit,gated_baseline,butcher_ridge,short,0.4,44,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_butcher_ridge_short_r40_s44/result.json,0.2719632089138031,0.35387858748435974,0.226688414812088,0.3493655323982239,0.5937243700027466,0.06478877365589142,0.1252489686012268,0.29071909189224243,0.45220598578453064,0.7774254679679871,0.08090120553970337,0.16814124584197998,48,0.2445489913225174
gated_baseline_heldout_mount_sidley_long_r40_s42,ecbit,gated_baseline,mount_sidley,long,0.4,42,experiments/results/metrics/exploration_sabc/gated_baseline_heldout_mount_sidley_long_r40_s42/result.json,0.3584425449371338,0.4901411533355713,0.3190402388572693,0.6079588532447815,0.48808595538139343,0.0942707434296608,0.2828570008277893,0.39916110038757324,0.7607818841934204,0.7891773581504822,0.1178167387843132,0.383768767118454,45,0.2609039843082428
