subset,n,full_mae_mean,full_mae_std,nonoverlap_mae_mean,nonoverlap_mae_std,mean_diff,ci95_low,ci95_high,p
Overall,27,0.2581152651045058,0.005600686219343587,0.2587283926981467,0.006220512559092442,0.0006131275936409434,9.383388046023226e-06,0.0012168717992358635,0.04678908282123842
Short,9,0.25131983558336896,0.0012331765097747837,0.2520341674486796,0.0015195578811152564,0.0007143318653106843,0.00026266408850372336,0.0011659996421176453,0.006522177486255103
Medium,9,0.260305729177263,0.0016718520289940731,0.26072512401474846,0.0021134068169826933,0.0004193948374854379,-0.0005765902642142425,0.0014153799391851182,0.35997493472812214
Long,9,0.2627202305528853,0.004052746185047747,0.26342588663101196,0.006265635449647216,0.0007056560781267077,-0.0010941779355458509,0.0025054900917992665,0.39234919271021595
