station_id,regime,mae_mean,rmse_mean,mae_T,mae_RH,mae_wspd,mae_P,mae_q
butcher_ridge,long,0.30444309115409846,0.39884986480077106,0.25751657287279756,0.4603550930817922,0.6141661405563354,0.0628500382105509,0.12732761601607
butcher_ridge,medium,0.2919885317484538,0.37783317764600116,0.2471952984730402,0.42279953757921857,0.5955168803532919,0.0694719925522804,0.12495893488327657
butcher_ridge,short,0.27149817347526545,0.3528958261013031,0.23023474713166556,0.3626086115837097,0.5752018292744955,0.0675042296449343,0.121941494445006
mount_sidley,long,0.38451570272445673,0.5271329283714294,0.32007962465286255,0.6720176935195923,0.5252320369084676,0.0988426382342974,0.30640656749407447
mount_sidley,medium,0.3468905289967854,0.4774864912033081,0.2847627600034078,0.5918944676717123,0.5139831304550171,0.07064427932103473,0.27316796779632563
mount_sidley,short,0.3186168471972147,0.4323929349581401,0.2126396844784418,0.5573115746180216,0.5203292965888977,0.08245618889729177,0.2203474541505177
nico,long,0.20183843870957693,0.24463301897048947,0.17980602383613584,0.4614929755528767,0.22988647719224295,0.0835822199781735,0.054424480845530775
nico,medium,0.17681488394737235,0.2190790226062139,0.1769943584998448,0.32442736625671387,0.2186229725678762,0.10640163471301393,0.057628071556488636
nico,short,0.14089185992876685,0.179658422867457,0.1753550271193186,0.17095923920472456,0.20261732240517935,0.0922924975554148,0.06323520094156264
sabrina,long,0.25884150465329486,0.34134982029596966,0.1976743290821711,0.35366763671239215,0.474003404378891,0.05150515213608736,0.21735702951749158
sabrina,medium,0.24351323147614792,0.32312461733818054,0.19671573241551712,0.29661516348520917,0.4370211362838745,0.053666015466054234,0.23354813456535337
sabrina,short,0.2349843730529149,0.3119203448295593,0.1887822200854619,0.29381369551022846,0.4055255552132924,0.0519721073408921,0.23482824862003324
zhongshan,long,0.3479536871115367,0.44168993830680847,0.14564373095830277,0.5117378135522207,0.684205154577891,0.05831755697727197,0.33986421426137287
zhongshan,medium,0.30074243744214374,0.3838052749633789,0.14286971092224118,0.4644078115622203,0.5138848920663198,0.049131159981091736,0.3334186275800069
zhongshan,short,0.27309270699818927,0.35032028953234357,0.13404381275176996,0.4237874348958333,0.4300123155117035,0.04892805963754646,0.32869194944699603
