station_id,mae_mean,rmse_mean,mae_T,mae_RH,mae_wspd,mae_P,mae_q,station,era5_mismatch_T,era5_mismatch_RH,era5_mismatch_wspd,era5_mismatch_P,era5_mismatch_q,era5_mismatch_mean
butcher_ridge,0.2893099321259392,0.37652628951602507,0.24498220615916777,0.4152544140815735,0.5949616167280409,0.0666087534692552,0.12474268178145086,Butcher Ridge,0.35594800114631653,0.6376513838768005,0.49781182408332825,0.20394298434257507,0.20558714866638184,0.38018826842308046
mount_sidley,0.350007692972819,0.4790041181776259,0.272494023044904,0.6070745786031088,0.5198481546507941,0.08398103548420796,0.2666406631469726,Mount Sidley,0.6358009576797485,0.8519142270088196,0.4564647376537323,0.04960068315267563,0.3818810284137726,0.4751323267817497
nico,0.17318172752857203,0.21445682148138678,0.17738513648509974,0.31895986033810503,0.21704225738843283,0.09409211741553408,0.05842925111452735,Nico,0.2645314037799835,0.8218820691108704,0.44406118988990784,0.031195154413580894,0.037518758326768875,0.3198377151042223
sabrina,0.24577970306078592,0.3254649274879032,0.19439076052771673,0.31469883190260994,0.438850031958686,0.0523810916476779,0.22857780423429272,Sabrina,0.16767172515392303,0.6610477566719055,0.301237016916275,0.012920442968606949,0.2410576045513153,0.2767869092524052
zhongshan,0.30726294385062325,0.391938500934177,0.1408524182107713,0.4666443533367581,0.5427007873853048,0.052125592198636723,0.3339915970961253,Zhongshan,0.09841655939817429,0.6469545364379883,0.4376811683177948,0.06372488290071487,0.31778648495674133,0.31291272640228274
