station_id,pattern,rate,seed,sabc_v2_mae,baseline_mae,improvement
mount_sidley,long,0.4,42,0.31088125705718994,0.3584425449371338,0.04756128787994385
mount_sidley,long,0.4,43,0.30156591534614563,0.344234824180603,0.0426689088344574
mount_sidley,long,0.4,44,0.30692124366760254,0.33728793263435364,0.0303666889667511
mount_sidley,medium,0.4,42,0.3090788722038269,0.32479530572891235,0.01571643352508545
mount_sidley,medium,0.4,43,0.3027912974357605,0.3247030973434448,0.021911799907684326
mount_sidley,medium,0.4,44,0.307770311832428,0.32570213079452515,0.017931818962097168
mount_sidley,short,0.4,42,0.30362147092819214,0.3144640326499939,0.010842561721801758
mount_sidley,short,0.4,43,0.30740439891815186,0.31692907214164734,0.009524673223495483
mount_sidley,short,0.4,44,0.299243301153183,0.3076968789100647,0.008453577756881714
nico,long,0.4,42,0.17115692794322968,0.16804327070713043,-0.003113657236099243
nico,long,0.4,43,0.17338772118091583,0.1607947051525116,-0.012593016028404236
nico,long,0.4,44,0.18150006234645844,0.16092786192893982,-0.020572200417518616
nico,medium,0.4,42,0.149995356798172,0.14258234202861786,-0.007413014769554138
nico,medium,0.4,43,0.15784336626529694,0.13724353909492493,-0.02059982717037201
nico,medium,0.4,44,0.1532890349626541,0.13386105000972748,-0.019427984952926636
nico,short,0.4,42,0.1351008117198944,0.13626694679260254,0.0011661350727081299
nico,short,0.4,43,0.13445180654525757,0.1293841004371643,-0.005067706108093262
nico,short,0.4,44,0.13402101397514343,0.12703505158424377,-0.006985962390899658
zhongshan,long,0.4,42,0.2757222056388855,0.3139806389808655,0.03825843334197998
zhongshan,long,0.4,43,0.2708624601364136,0.3060954213142395,0.03523296117782593
zhongshan,long,0.4,44,0.27549269795417786,0.30666422843933105,0.031171530485153198
zhongshan,medium,0.4,42,0.2721463143825531,0.2950259745121002,0.02287966012954712
zhongshan,medium,0.4,43,0.2770468592643738,0.29057133197784424,0.013524472713470459
zhongshan,medium,0.4,44,0.2723916172981262,0.2833506464958191,0.010959029197692871
zhongshan,short,0.4,42,0.26278603076934814,0.26735517382621765,0.004569143056869507
zhongshan,short,0.4,43,0.26005738973617554,0.26884925365448,0.008791863918304443
zhongshan,short,0.4,44,0.2632199227809906,0.26380404829978943,0.0005841255187988281
