run_name,model,variant,station_id,pattern,rate,seed,result_path,mae_mean,rmse_mean,mae_T,mae_RH,mae_wspd,mae_P,mae_q,rmse_T,rmse_RH,rmse_wspd,rmse_P,rmse_q,best_epoch,val_mae_mean
sabc_residual_heldout_mount_sidley_long_r40_s42,ecbit_sabc,sabc_residual,mount_sidley,long,0.4,42,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_mount_sidley_long_r40_s42/result.json,0.31088125705718994,0.4227926731109619,0.19565822184085846,0.5700139999389648,0.49970853328704834,0.07043501734733582,0.21859046816825867,0.2481122463941574,0.6969711780548096,0.7698193192481995,0.08811464160680771,0.31094589829444885,48,0.2516850531101227
sabc_residual_heldout_mount_sidley_long_r40_s43,ecbit_sabc,sabc_residual,mount_sidley,long,0.4,43,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_mount_sidley_long_r40_s43/result.json,0.30156591534614563,0.41245341300964355,0.19811224937438965,0.553733766078949,0.47935160994529724,0.06501753628253937,0.21161431074142456,0.2519131302833557,0.6782749891281128,0.7529356479644775,0.08268070966005325,0.29646265506744385,44,0.250418096780777
sabc_residual_heldout_mount_sidley_long_r40_s44,ecbit_sabc,sabc_residual,mount_sidley,long,0.4,44,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_mount_sidley_long_r40_s44/result.json,0.30692124366760254,0.4199945330619812,0.20046685636043549,0.5614631175994873,0.48483985662460327,0.07423502206802368,0.2136014699935913,0.25606071949005127,0.6861850619316101,0.7683179378509521,0.09451412409543991,0.29489490389823914,45,0.25258731842041016
sabc_residual_heldout_mount_sidley_medium_r40_s42,ecbit_sabc,sabc_residual,mount_sidley,medium,0.4,42,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_mount_sidley_medium_r40_s42/result.json,0.3090788722038269,0.4195430278778076,0.19640453159809113,0.5726284980773926,0.4840438663959503,0.07158176600933075,0.22073577344417572,0.25080302357673645,0.7053065299987793,0.7470267415046692,0.09082010388374329,0.30375877022743225,48,0.24893197417259216
sabc_residual_heldout_mount_sidley_medium_r40_s43,ecbit_sabc,sabc_residual,mount_sidley,medium,0.4,43,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_mount_sidley_medium_r40_s43/result.json,0.3027912974357605,0.4166572690010071,0.20937584340572357,0.551539421081543,0.47129935026168823,0.06670600175857544,0.21503596007823944,0.263687402009964,0.6740148067474365,0.7616994380950928,0.08390960842370987,0.2999749779701233,45,0.2491869181394577
sabc_residual_heldout_mount_sidley_medium_r40_s44,ecbit_sabc,sabc_residual,mount_sidley,medium,0.4,44,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_mount_sidley_medium_r40_s44/result.json,0.307770311832428,0.4212057590484619,0.19748011231422424,0.5659263134002686,0.4917941689491272,0.06492691487073898,0.2187240868806839,0.2507857084274292,0.690430223941803,0.7767491340637207,0.0820336565375328,0.3060300052165985,45,0.24912314116954803
sabc_residual_heldout_mount_sidley_short_r40_s42,ecbit_sabc,sabc_residual,mount_sidley,short,0.4,42,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_mount_sidley_short_r40_s42/result.json,0.30362147092819214,0.4164920747280121,0.1930544376373291,0.5538941025733948,0.4880343973636627,0.0724206268787384,0.2107037603855133,0.24579840898513794,0.6821796298027039,0.7743286490440369,0.0906614288687706,0.289492130279541,45,0.24231886863708496
sabc_residual_heldout_mount_sidley_short_r40_s43,ecbit_sabc,sabc_residual,mount_sidley,short,0.4,43,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_mount_sidley_short_r40_s43/result.json,0.30740439891815186,0.42763233184814453,0.19783298671245575,0.5521925687789917,0.4976590573787689,0.07342866063117981,0.2159087359905243,0.2519568204879761,0.6807857155799866,0.8061020374298096,0.09175825119018555,0.30755871534347534,49,0.24197033047676086
sabc_residual_heldout_mount_sidley_short_r40_s44,ecbit_sabc,sabc_residual,mount_sidley,short,0.4,44,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_mount_sidley_short_r40_s44/result.json,0.299243301153183,0.41141843795776367,0.19679175317287445,0.5417648553848267,0.4820067882537842,0.06970689445734024,0.2059461623430252,0.2493240088224411,0.6682910323143005,0.7656393051147461,0.0880909413099289,0.2857469618320465,47,0.24150414764881134
sabc_residual_heldout_nico_long_r40_s42,ecbit_sabc,sabc_residual,nico,long,0.4,42,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_nico_long_r40_s42/result.json,0.17115692794322968,0.21140213310718536,0.18090833723545074,0.3202393352985382,0.19649122655391693,0.09073534607887268,0.067410409450531,0.22791989147663116,0.3815840184688568,0.25322142243385315,0.10939125716686249,0.0848941057920456,48,0.2516850531101227
