station_id,station,mode,variable,mae,n_obs
butcher_ridge,Butcher Ridge,none,P,0.17987646162509918,7565
butcher_ridge,Butcher Ridge,none,q,0.17509107291698456,6028
butcher_ridge,Butcher Ridge,none,mean,0.35934174060821533,31399
butcher_ridge,Butcher Ridge,global_mean,T,0.31516537070274353,6028
butcher_ridge,Butcher Ridge,global_mean,RH,0.49937722086906433,7565
butcher_ridge,Butcher Ridge,global_mean,wspd,0.59409099817276,4213
butcher_ridge,Butcher Ridge,global_mean,P,0.1285712718963623,7565
butcher_ridge,Butcher Ridge,global_mean,q,0.11963452398777008,6028
butcher_ridge,Butcher Ridge,global_mean,mean,0.31447848677635193,31399
butcher_ridge,Butcher Ridge,target_mean,T,0.22081004083156586,6028
butcher_ridge,Butcher Ridge,target_mean,RH,0.4788491725921631,7565
butcher_ridge,Butcher Ridge,target_mean,wspd,0.5840575098991394,4213
butcher_ridge,Butcher Ridge,target_mean,P,0.029146315529942513,7565
butcher_ridge,Butcher Ridge,target_mean,q,0.12553347647190094,6028
butcher_ridge,Butcher Ridge,target_mean,mean,0.2672498822212219,31399
butcher_ridge,Butcher Ridge,target_month,T,0.22095610201358795,6028
butcher_ridge,Butcher Ridge,target_month,RH,0.3714851140975952,7565
butcher_ridge,Butcher Ridge,target_month,wspd,0.5889233946800232,4213
butcher_ridge,Butcher Ridge,target_month,P,0.029066884890198708,7565
butcher_ridge,Butcher Ridge,target_month,q,0.1161888837814331,6028
butcher_ridge,Butcher Ridge,target_month,mean,0.24025031924247742,31399
butcher_ridge,Butcher Ridge,target_state_linear,T,0.21730273962020874,6028
butcher_ridge,Butcher Ridge,target_state_linear,RH,0.3591994345188141,7565
butcher_ridge,Butcher Ridge,target_state_linear,wspd,0.4570067226886749,4213
butcher_ridge,Butcher Ridge,target_state_linear,P,0.029101010411977768,7565
butcher_ridge,Butcher Ridge,target_state_linear,q,0.11294286698102951,6028
butcher_ridge,Butcher Ridge,target_state_linear,mean,0.21827389299869537,31399
mount_sidley,Mount Sidley,none,T,0.6034720540046692,4764
mount_sidley,Mount Sidley,none,RH,0.8476558923721313,5726
mount_sidley,Mount Sidley,none,wspd,0.48854339122772217,3897
mount_sidley,Mount Sidley,none,P,0.04839177429676056,5726
mount_sidley,Mount Sidley,none,q,0.3747967481613159,4764
mount_sidley,Mount Sidley,none,mean,0.4701167643070221,24877
mount_sidley,Mount Sidley,global_mean,T,0.552548885345459,4764
mount_sidley,Mount Sidley,global_mean,RH,1.025293231010437,5726
mount_sidley,Mount Sidley,global_mean,wspd,0.5169738531112671,3897
mount_sidley,Mount Sidley,global_mean,P,0.01459866389632225,5726
mount_sidley,Mount Sidley,global_mean,q,0.2505395710468292,4764
mount_sidley,Mount Sidley,global_mean,mean,0.47413191199302673,24877
mount_sidley,Mount Sidley,target_mean,T,0.24844229221343994,4764
mount_sidley,Mount Sidley,target_mean,RH,0.5673953890800476,5726
mount_sidley,Mount Sidley,target_mean,wspd,0.5229337811470032,3897
mount_sidley,Mount Sidley,target_mean,P,0.01390841044485569,5726
mount_sidley,Mount Sidley,target_mean,q,0.23248998820781708,4764
mount_sidley,Mount Sidley,target_mean,mean,0.307817667722702,24877
mount_sidley,Mount Sidley,target_month,T,0.2031688094139099,4764
mount_sidley,Mount Sidley,target_month,RH,0.544550359249115,5726
mount_sidley,Mount Sidley,target_month,wspd,0.5191237926483154,3897
mount_sidley,Mount Sidley,target_month,P,0.01290486752986908,5726
mount_sidley,Mount Sidley,target_month,q,0.23019970953464508,4764
mount_sidley,Mount Sidley,target_month,mean,0.29262295365333557,24877
mount_sidley,Mount Sidley,target_state_linear,T,0.20587101578712463,4764
mount_sidley,Mount Sidley,target_state_linear,RH,0.5355218648910522,5726
mount_sidley,Mount Sidley,target_state_linear,wspd,0.497516393661499,3897
mount_sidley,Mount Sidley,target_state_linear,P,0.012847689911723137,5726
mount_sidley,Mount Sidley,target_state_linear,q,0.22048132121562958,4764
mount_sidley,Mount Sidley,target_state_linear,mean,0.28580325841903687,24877
