run_name,config,checkpoint,train_pattern,test_pattern,rate,seed,mae_T,rmse_T,mae_RH,rmse_RH,mae_wspd,rmse_wspd,mae_P,rmse_P,mae_q,rmse_q,mae_mean,rmse_mean
ecbit_mcar_no_era5_long_r20_s42,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s42.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s42/best.pt,mcar,long,0.2,42,0.5282315611839294,0.7095276713371277,0.8476021885871887,1.1262694597244263,0.8381208777427673,1.1035864353179932,0.3913270831108093,0.49880850315093994,0.5910184383392334,0.7587361931800842,0.6392600536346436,0.8393856883049011
ecbit_mcar_no_era5_long_r20_s43,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s43.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s43/best.pt,mcar,long,0.2,43,0.530432939529419,0.709426760673523,0.8119044899940491,1.096469521522522,0.8767869472503662,1.1478943824768066,0.3409949839115143,0.43914321064949036,0.6155457496643066,0.7950024604797363,0.6351330280303955,0.8375872373580933
ecbit_mcar_no_era5_long_r20_s44,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s44.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r20_s44/best.pt,mcar,long,0.2,44,0.5683669447898865,0.7569808959960938,0.8071376085281372,1.0684391260147095,0.8445023894309998,1.096859335899353,0.3320351541042328,0.4350658059120178,0.599579393863678,0.7762706875801086,0.6303242444992065,0.8267232179641724
ecbit_mcar_no_era5_long_r40_s42,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s42.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s42/best.pt,mcar,long,0.4,42,0.5478196740150452,0.7404748797416687,0.7868955135345459,1.0495346784591675,0.8381943702697754,1.1187975406646729,0.35350579023361206,0.43980273604393005,0.5674839019775391,0.7548888921737671,0.6187798380851746,0.8206998109817505
ecbit_mcar_no_era5_long_r40_s43,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s43.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s43/best.pt,mcar,long,0.4,43,0.5540788769721985,0.768587589263916,0.7568080425262451,1.0311003923416138,0.837449848651886,1.1363893747329712,0.3416089117527008,0.429260790348053,0.5701490640640259,0.7712907195091248,0.6120189428329468,0.827325701713562
ecbit_mcar_no_era5_long_r40_s44,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s44.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r40_s44/best.pt,mcar,long,0.4,44,0.5639027953147888,0.7689242362976074,0.7289534211158752,0.9596853256225586,0.8031092882156372,1.082122802734375,0.3160185217857361,0.4181760549545288,0.5772227644920349,0.7712923884391785,0.5978413820266724,0.8000401258468628
ecbit_mcar_no_era5_long_r60_s42,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s42.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s42/best.pt,mcar,long,0.6,42,0.5497617125511169,0.741899847984314,0.7254314422607422,0.9431397318840027,0.8295209407806396,1.0986781120300293,0.3841938376426697,0.48207759857177734,0.56426602602005,0.7541529536247253,0.6106348037719727,0.803989589214325
ecbit_mcar_no_era5_long_r60_s43,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s43.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s43/best.pt,mcar,long,0.6,43,0.5832073092460632,0.7899137139320374,0.717596709728241,0.9316026568412781,0.8016501069068909,1.0836125612258911,0.3422659933567047,0.4412558674812317,0.5676606297492981,0.7786844372749329,0.602476179599762,0.8050138354301453
ecbit_mcar_no_era5_long_r60_s44,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s44.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_long_r60_s44/best.pt,mcar,long,0.6,44,0.5987537503242493,0.8077690005302429,0.7454400658607483,0.9755130410194397,0.8080966472625732,1.0909966230392456,0.37266048789024353,0.4777598977088928,0.6048615574836731,0.8196520805358887,0.625962495803833,0.8343380689620972
ecbit_mcar_no_era5_medium_r20_s42,experiments/configs/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r20_s42.yaml,experiments/results/metrics/followup_mcar_noera5/ecbit_mcar_no_era5_medium_r20_s42/best.pt,mcar,medium,0.2,42,0.4773979187011719,0.637154221534729,0.7202114462852478,0.9416926503181458,0.8066481351852417,1.0461852550506592,0.3330342173576355,0.4458440840244293,0.5925989747047424,0.7200995683670044,0.5859781503677368,0.758195161819458
