run_name,pattern,rate,seed,model,variable,status,alpha,target_coverage,qhat,interval_width,test_coverage,test_mae,n_val,n_test
itransformer_era5_medium_r40_s44,medium,0.4,44,itransformer_era5,RH,ok,0.1,0.9,1.1221674680709839,2.2443349361419678,0.8634196519851685,0.6135784387588501,44857,43835
itransformer_era5_medium_r40_s44,medium,0.4,44,itransformer_era5,wspd,ok,0.1,0.9,0.8551170825958252,1.7102341651916504,0.9203459024429321,0.3604353070259094,24554,20815
itransformer_era5_medium_r40_s44,medium,0.4,44,itransformer_era5,P,ok,0.1,0.9,0.11693894863128662,0.23387789726257324,0.8923681378364563,0.057937055826187134,46099,45795
itransformer_era5_medium_r40_s44,medium,0.4,44,itransformer_era5,q,ok,0.1,0.9,0.5759332776069641,1.1518665552139282,0.8913356065750122,0.24395056068897247,39181,39645
itransformer_era5_medium_r40_s44,medium,0.4,44,itransformer_era5,all,ok,0.1,0.9,0.7167614102363586,1.4335228204727173,0.8905676603317261,0.27681252360343933,194584,190483
itransformer_era5_short_r40_s42,short,0.4,42,itransformer_era5,T,ok,0.1,0.9,0.29641881585121155,0.5928376317024231,0.8972808718681335,0.14092223346233368,38884,39535
itransformer_era5_short_r40_s42,short,0.4,42,itransformer_era5,RH,ok,0.1,0.9,1.0594896078109741,2.1189792156219482,0.8630486726760864,0.5815147161483765,42204,41533
itransformer_era5_short_r40_s42,short,0.4,42,itransformer_era5,wspd,ok,0.1,0.9,0.8363286256790161,1.6726572513580322,0.9192080497741699,0.3648904860019684,23733,20002
itransformer_era5_short_r40_s42,short,0.4,42,itransformer_era5,P,ok,0.1,0.9,0.11769604682922363,0.23539209365844727,0.908494770526886,0.05512230470776558,44042,43462
itransformer_era5_short_r40_s42,short,0.4,42,itransformer_era5,q,ok,0.1,0.9,0.5426859855651855,1.085371971130371,0.8858308792114258,0.23931552469730377,38140,38478
