run_name,variant,pattern,rate,seed,mae_T,rmse_T,mae_RH,rmse_RH,mae_wspd,rmse_wspd,mae_P,rmse_P,mae_q,rmse_q,mae_mean,rmse_mean
gated_baseline_long_r40_s42,gated_baseline,long,0.4,42,0.16499289870262146,0.22141771018505096,0.4508863687515259,0.596167266368866,0.4363153576850891,0.6890233159065247,0.060664188116788864,0.0808965414762497,0.21924564242362976,0.32135510444641113,0.2664209008216858,0.381771981716156
gated_baseline_long_r40_s43,gated_baseline,long,0.4,43,0.16583803296089172,0.2234618216753006,0.4491264522075653,0.5952203869819641,0.4340783953666687,0.6868082284927368,0.05845332145690918,0.07895484566688538,0.2200678586959839,0.3204176723957062,0.2655127942562103,0.38097256422042847
gated_baseline_long_r40_s44,gated_baseline,long,0.4,44,0.16471953690052032,0.22125110030174255,0.45260316133499146,0.5956592559814453,0.4319956600666046,0.6747373938560486,0.06020854786038399,0.08114644885063171,0.22027532756328583,0.3217180073261261,0.2659604549407959,0.3789024353027344
gated_baseline_medium_r40_s42,gated_baseline,medium,0.4,42,0.16016611456871033,0.2146570235490799,0.4362104833126068,0.5796765089035034,0.4244900345802307,0.6685782074928284,0.053444113582372665,0.06926925480365753,0.2181444615125656,0.31800299882888794,0.25849103927612305,0.3700368106365204
gated_baseline_medium_r40_s43,gated_baseline,medium,0.4,43,0.15825752913951874,0.21356061100959778,0.437328964471817,0.5818406343460083,0.4267628490924835,0.6712685227394104,0.052900686860084534,0.06829231232404709,0.2171867936849594,0.317146897315979,0.25848737359046936,0.37042176723480225
gated_baseline_medium_r40_s44,gated_baseline,medium,0.4,44,0.158103346824646,0.21247625350952148,0.43578216433525085,0.5777556896209717,0.42557770013809204,0.6757294535636902,0.05060286447405815,0.06584018468856812,0.21612095832824707,0.31554311513900757,0.25723743438720703,0.3694689869880676
gated_baseline_short_r40_s42,gated_baseline,short,0.4,42,0.15075063705444336,0.20123301446437836,0.4157088100910187,0.5574976205825806,0.4121050536632538,0.6459529995918274,0.051311127841472626,0.0707637220621109,0.20881693065166473,0.304035484790802,0.2477385252714157,0.355896532535553
gated_baseline_short_r40_s43,gated_baseline,short,0.4,43,0.1520414799451828,0.20253178477287292,0.41406115889549255,0.5538941621780396,0.41236934065818787,0.6463532447814941,0.050783414393663406,0.0671752467751503,0.20870313048362732,0.30385661125183105,0.24759170413017273,0.3547622263431549
gated_baseline_short_r40_s44,gated_baseline,short,0.4,44,0.15059532225131989,0.2013396918773651,0.41413113474845886,0.5538005232810974,0.4093310534954071,0.6506901979446411,0.049503836780786514,0.06642626225948334,0.20588909089565277,0.30135276913642883,0.24589009582996368,0.35472190380096436
pcr_w005_long_r40_s42,pcr_w005,long,0.4,42,0.16265743970870972,0.21813517808914185,0.4522365927696228,0.5970401167869568,0.43424278497695923,0.6897497177124023,0.05726505443453789,0.07654212415218353,0.2183654010295868,0.3200824558734894,0.26495346426963806,0.38030990958213806
pcr_w005_long_r40_s43,pcr_w005,long,0.4,43,0.16513067483901978,0.22302480041980743,0.4492144286632538,0.5952602028846741,0.4343050420284271,0.6861942410469055,0.05761886388063431,0.07750727981328964,0.2189711183309555,0.320196270942688,0.2650480270385742,0.38043656945228577
pcr_w005_long_r40_s44,pcr_w005,long,0.4,44,0.164617121219635,0.2215222716331482,0.4530084431171417,0.5962445735931396,0.43285438418388367,0.6766834259033203,0.06085364520549774,0.08197707682847977,0.21898676455020905,0.32131966948509216,0.2660640776157379,0.37954941391944885
pcr_w005_medium_r40_s42,pcr_w005,medium,0.4,42,0.15918070077896118,0.21390078961849213,0.4362228214740753,0.5792003870010376,0.42302197217941284,0.6672905087471008,0.052299242466688156,0.06808546930551529,0.21717441082000732,0.31669965386390686,0.25757986307144165,0.3690353333950043
pcr_w005_medium_r40_s43,pcr_w005,medium,0.4,43,0.1585807353258133,0.2139178216457367,0.4387185275554657,0.5822583436965942,0.42527034878730774,0.6680007576942444,0.05305829644203186,0.06872685998678207,0.21729645133018494,0.317283570766449,0.2585848569869995,0.3700374960899353
pcr_w005_medium_r40_s44,pcr_w005,medium,0.4,44,0.15731926262378693,0.21194246411323547,0.43677380681037903,0.577987015247345,0.42388784885406494,0.672974705696106,0.04976673424243927,0.06558187305927277,0.21452879905700684,0.31429073214530945,0.25645530223846436,0.36855536699295044
