run_name,model,variant,pattern,target_pattern,rate,seed,result_path,mae_mean,rmse_mean,mae_T,mae_RH,mae_wspd,mae_P,mae_q,rmse_T,rmse_RH,rmse_wspd,rmse_P,rmse_q,best_epoch
itransformer_era5_long_r20_s42,itransformer_era5,,long,,0.2,42,experiments/results/metrics/fair_era5_baselines/itransformer_era5_long_r20_s42/result.json,0.2662373483181,0.38110655546188354,0.16509495675563812,0.46221980452537537,0.4219215214252472,0.06610095500946045,0.21584950387477875,0.22040589153766632,0.6026851534843445,0.6793601512908936,0.08929862827062607,0.31378284096717834,44.0
itransformer_era5_long_r20_s43,itransformer_era5,,long,,0.2,43,experiments/results/metrics/fair_era5_baselines/itransformer_era5_long_r20_s43/result.json,0.27210763096809387,0.38863450288772583,0.16875869035720825,0.46290114521980286,0.42952603101730347,0.07496673613786697,0.22438551485538483,0.22686846554279327,0.6046887040138245,0.6857454776763916,0.10126771777868271,0.32460227608680725,30.0
itransformer_era5_long_r20_s44,itransformer_era5,,long,,0.2,44,experiments/results/metrics/fair_era5_baselines/itransformer_era5_long_r20_s44/result.json,0.2624439597129822,0.3765515387058258,0.16039292514324188,0.4552696645259857,0.41985681653022766,0.06040845438838005,0.21629203855991364,0.21488496661186218,0.5952802300453186,0.6682231426239014,0.08578895032405853,0.31858038902282715,48.0
itransformer_era5_long_r40_s42,itransformer_era5,,long,,0.4,42,experiments/results/metrics/fair_era5_baselines/itransformer_era5_long_r40_s42/result.json,0.26094186305999756,0.37426555156707764,0.15977869927883148,0.4554425776004791,0.4213268458843231,0.05517100542783737,0.21299020946025848,0.21441857516765594,0.5970715880393982,0.6740052700042725,0.07346861809492111,0.31236374378204346,48.0
itransformer_era5_long_r40_s43,itransformer_era5,,long,,0.4,43,experiments/results/metrics/fair_era5_baselines/itransformer_era5_long_r40_s43/result.json,0.2613217234611511,0.3753485679626465,0.1597771942615509,0.45510542392730713,0.4198206961154938,0.05591192841529846,0.2159934788942337,0.21619118750095367,0.5978407263755798,0.6719649434089661,0.07509228587150574,0.31565359234809875,46.0
itransformer_era5_long_r40_s44,itransformer_era5,,long,,0.4,44,experiments/results/metrics/fair_era5_baselines/itransformer_era5_long_r40_s44/result.json,0.26096147298812866,0.37515169382095337,0.15964576601982117,0.4563358724117279,0.41936424374580383,0.05620994791388512,0.21325163543224335,0.21554474532604218,0.5994688272476196,0.6692304015159607,0.0778103917837143,0.31370407342910767,48.0
itransformer_era5_long_r60_s42,itransformer_era5,,long,,0.6,42,experiments/results/metrics/fair_era5_baselines/itransformer_era5_long_r60_s42/result.json,0.25966888666152954,0.37359651923179626,0.15718011558055878,0.45301830768585205,0.42177483439445496,0.052859965711832047,0.2135111391544342,0.21228934824466705,0.5964453220367432,0.6731660962104797,0.07107637822628021,0.3150055706501007,48.0
itransformer_era5_long_r60_s43,itransformer_era5,,long,,0.6,43,experiments/results/metrics/fair_era5_baselines/itransformer_era5_long_r60_s43/result.json,0.2615254819393158,0.37475377321243286,0.15764659643173218,0.45643481612205505,0.4235000014305115,0.053806837648153305,0.21623921394348145,0.21318118274211884,0.601640522480011,0.6706011295318604,0.072739377617836,0.31560662388801575,48.0
itransformer_era5_long_r60_s44,itransformer_era5,,long,,0.6,44,experiments/results/metrics/fair_era5_baselines/itransformer_era5_long_r60_s44/result.json,0.2592737078666687,0.37276414036750793,0.1562531292438507,0.45522066950798035,0.4194646179676056,0.05326312407851219,0.2121671885251999,0.21132269501686096,0.598511815071106,0.6689215898513794,0.07178033888339996,0.3132842481136322,45.0
itransformer_era5_medium_r20_s42,itransformer_era5,,medium,,0.2,42,experiments/results/metrics/fair_era5_baselines/itransformer_era5_medium_r20_s42/result.json,0.26177549362182617,0.3725859820842743,0.16144341230392456,0.4515276253223419,0.41518574953079224,0.06612945348024368,0.21459129452705383,0.2140163630247116,0.5912612676620483,0.6620703339576721,0.08501970767974854,0.3105623126029968,48.0
itransformer_era5_medium_r20_s43,itransformer_era5,,medium,,0.2,43,experiments/results/metrics/fair_era5_baselines/itransformer_era5_medium_r20_s43/result.json,0.26188114285469055,0.37275949120521545,0.15984395146369934,0.45144447684288025,0.41614311933517456,0.06728515774011612,0.21468885242938995,0.2138640135526657,0.5909088253974915,0.6593214273452759,0.08690374344587326,0.31279951333999634,47.0
itransformer_era5_medium_r20_s44,itransformer_era5,,medium,,0.2,44,experiments/results/metrics/fair_era5_baselines/itransformer_era5_medium_r20_s44/result.json,0.26309409737586975,0.37615418434143066,0.1607329398393631,0.4537321925163269,0.4224555194377899,0.06318484246730804,0.2153649628162384,0.21611937880516052,0.594002366065979,0.676479160785675,0.08143302798271179,0.3127369284629822,33.0
itransformer_era5_medium_r40_s42,itransformer_era5,,medium,,0.4,42,experiments/results/metrics/fair_era5_baselines/itransformer_era5_medium_r40_s42/result.json,0.25882086157798767,0.37032634019851685,0.15865659713745117,0.4466668665409088,0.4146639406681061,0.05897050350904465,0.21514654159545898,0.21226024627685547,0.5866914987564087,0.6629226207733154,0.07689056545495987,0.31286677718162537,48.0
itransformer_era5_medium_r40_s43,itransformer_era5,,medium,,0.4,43,experiments/results/metrics/fair_era5_baselines/itransformer_era5_medium_r40_s43/result.json,0.2603256106376648,0.372028648853302,0.157516747713089,0.45080435276031494,0.4206753373146057,0.05958577245473862,0.21304593980312347,0.2118949592113495,0.5926012396812439,0.6664949059486389,0.07762020081281662,0.3115321695804596,42.0
itransformer_era5_medium_r40_s44,itransformer_era5,,medium,,0.4,44,experiments/results/metrics/fair_era5_baselines/itransformer_era5_medium_r40_s44/result.json,0.2591727375984192,0.37256747484207153,0.15786385536193848,0.4480867087841034,0.4193563461303711,0.057158902287483215,0.2133977711200714,0.21206876635551453,0.5892869234085083,0.6755549311637878,0.07447750866413116,0.31144919991493225,43.0
itransformer_era5_medium_r60_s42,itransformer_era5,,medium,,0.6,42,experiments/results/metrics/fair_era5_baselines/itransformer_era5_medium_r60_s42/result.json,0.2589581608772278,0.3712986409664154,0.1570393443107605,0.4518955945968628,0.419055312871933,0.0545891709625721,0.21221131086349487,0.21073663234710693,0.591835081577301,0.6677365899085999,0.07299450784921646,0.3131905496120453,48.0
