method,mae_mean,mae_std,rmse_mean,rmse_std,count,long,medium,short
SAITS,0.3341985041344607,0.09296509114830348,0.5165072039321617,0.11076991807401299,27,0.41040234102143175,0.34057668513721884,0.25161648624473143
SAITS+ERA5,0.2449111778427053,0.06209108875120827,0.3800496790144179,0.08031975742690066,27,0.29906354347864783,0.23534662028153733,0.20032336976793072
iTransformer,0.35992867527184663,0.04005948967929112,0.5083093389316842,0.052124523339787156,27,0.40197504229015774,0.35230664743317497,0.32550433609220714
iTransformer+ERA5,0.2581152651045057,0.005600686219343575,0.3698589558954592,0.007754274129078812,27,0.2627202305528853,0.260305729177263,0.25131983558336896
ECBIT concat,0.2579758376986892,0.0062316019035276666,0.3706208622014081,0.008288482283045863,27,0.26396712660789484,0.25996937023268807,0.24999101625548464
ECBIT gated,0.2577214075459374,0.007362689004334275,0.3698217515592222,0.009996727630902895,27,0.26580796307987636,0.25873307718171007,0.24862318237622574
