training_mask,era5_conditioning,setting,short,medium,long,overall,count
Block,Yes,block_era5,0.24862318237622574,0.2587330771817101,0.26580796307987636,0.2577214075459374,27
Block,No,block_noera5,0.31922423508432174,0.35178221265474957,0.3661505977312724,0.3457190151567812,27
MCAR,Yes,mcar_era5,0.33654462960031295,0.41614214579264325,0.4685601525836521,0.4070823093255361,27
MCAR,No,mcar_noera5,0.4230227834648556,0.5459531214502122,0.6191589964760674,0.5293783004637118,27
