model,variant,pattern,rate,mae_mean_mean,mae_mean_std,mae_mean_count,rmse_mean_mean,rmse_mean_std,rmse_mean_count,mae_T_mean,mae_T_std,mae_T_count,mae_RH_mean,mae_RH_std,mae_RH_count,mae_wspd_mean,mae_wspd_std,mae_wspd_count,mae_P_mean,mae_P_std,mae_P_count,mae_q_mean,mae_q_std,mae_q_count,rmse_T_mean,rmse_T_std,rmse_T_count,rmse_RH_mean,rmse_RH_std,rmse_RH_count,rmse_wspd_mean,rmse_wspd_std,rmse_wspd_count,rmse_P_mean,rmse_P_std,rmse_P_count,rmse_q_mean,rmse_q_std,rmse_q_count
era5_direct,,long,0.2,0.3799037237962087,0.0004929724854060756,3,0.5475775996843973,0.0014713684932495556,3,0.20410814881324768,0.00048440197344698147,3,0.6922335624694824,0.0003610876683607049,3,0.509242574373881,0.0025256388912189487,3,0.2169281244277954,0.000718412765210147,3,0.27700621883074444,0.0005929995154648038,3,0.271988848845164,0.0009908854523857896,3,0.8817690014839172,0.00033738749935597115,3,0.8417021433512369,0.006465590706831691,3,0.35285356640815735,0.0007181643977406064,3,0.3895744780699412,0.0011266027320035706,3
era5_direct,,long,0.4,0.3814113636811574,0.0001468510345397938,3,0.5483559370040894,0.0003819276065920063,3,0.20349467794100443,0.00014081858161793084,3,0.6935805082321167,0.0012075584660840744,3,0.5118904312451681,0.0006979083914399128,3,0.22148431837558746,0.0001350892487059636,3,0.2766068677107493,0.00024329563974006892,3,0.2699460486570994,0.0001499773273232463,3,0.8829157551129659,0.0012103927649899718,3,0.8437467217445374,0.0018146905272098048,3,0.3564239839712779,0.0004092967589373893,3,0.38874712586402893,0.0006740805472500302,3
era5_direct,,long,0.6,0.3804831902186076,0.0003317726621890492,3,0.5458344419797262,0.00022877440077298186,3,0.20424016813437143,0.0002497630138757723,3,0.6949231823285421,0.0007003570220106333,3,0.5077528953552246,0.0009754559620972641,3,0.21960883339246115,0.00017391030021911142,3,0.27589089671770733,0.00032556738779602817,3,0.27177658677101135,0.00021626374504868086,3,0.8840287526448568,0.0007593623728475805,3,0.8332754174868265,0.0009209755523250046,3,0.35303208231925964,0.00026344980419429706,3,0.3870593011379242,0.0010669391917407995,3
era5_direct,,medium,0.2,0.3821803132692973,0.000935258259571103,3,0.550175150235494,0.001668859294401787,3,0.20476259787877402,0.00042546187130165216,3,0.6955882509549459,0.0009162365240999738,3,0.514941950639089,0.0034552686299625414,3,0.22098700205485025,0.0009641415468462233,3,0.27462174495061237,0.00020770398274087636,3,0.27281317114830017,0.00019333538336539457,3,0.8843631347020467,0.0009298068001255331,3,0.8534596959749857,0.007438462759014602,3,0.3550361792246501,0.0016305025862340743,3,0.3852035403251648,0.00026633695245456714,3
era5_direct,,medium,0.4,0.3803718586762746,0.00036033099332753575,3,0.5470254818598429,0.0006216102801401629,3,0.20386349658171335,0.0003970371581983849,3,0.6921424865722656,0.00059287846710861,3,0.5097848773002625,0.0009370898944577621,3,0.21988376478354135,0.00034978894037382527,3,0.27618469794591266,0.0004905812912594623,3,0.2714586754639943,0.000749805056647796,3,0.880526602268219,0.00040052094479235825,3,0.8426729242006937,0.002525453367130473,3,0.3537265459696452,0.0005942286700042519,3,0.3867427508036296,0.00042922378493088966,3
era5_direct,,medium,0.6,0.3805532554785411,0.00035519536872787906,3,0.5465569098790487,0.0005529619923039589,3,0.2046159952878952,0.00016644118995533299,3,0.6939420501391093,0.0005929754427751227,3,0.5084394017855326,0.0008357447670015988,3,0.2206827700138092,0.00013468814723947313,3,0.2750861346721649,0.0003135005607853185,3,0.27227046092351276,4.985587688324371e-05,3,0.882635235786438,0.0004266229337383686,3,0.8372961282730103,0.0015322626165580747,3,0.3541745642820994,0.00013600441357551968,3,0.3864082495371501,0.0008086586695357275,3
era5_direct,,short,0.2,0.3812577227751414,0.0003911112026099789,3,0.547964870929718,0.001290595032165961,3,0.2047968953847885,0.00033171753463211515,3,0.6934042572975159,0.0020730119458641882,3,0.5117511550585429,0.0021099297136255124,3,0.22074045737584433,0.0009609634692556151,3,0.2755957742532094,0.001173094845901698,3,0.2729221284389496,0.0009165394874623587,3,0.8816433747609457,0.002076441447137962,3,0.8439740339914957,0.006553705912194588,3,0.35507987936337787,0.001039207798865022,3,0.3862049877643585,0.0014245227260130998,3
era5_direct,,short,0.4,0.38159093260765076,0.0002652222296782658,3,0.5476975639661154,0.0010038923799327523,3,0.20520552496115366,0.00041836563892429576,3,0.6944582064946493,0.001081594286939106,3,0.5119737585385641,0.0006637722287809057,3,0.22124391794204712,0.0001931741875699328,3,0.27507323026657104,0.0004023136172536029,3,0.273174911737442,0.0013032971920042629,3,0.8828301231066386,0.0008089145637050934,3,0.841350773970286,0.004797731502916229,3,0.3548590640227,0.00029270784861159475,3,0.38627280791600543,0.00025228966279302527,3
era5_direct,,short,0.6,0.3817676405111949,0.00010523622598954254,3,0.5478031635284424,0.0007035315064800231,3,0.20474421481291452,7.179039606820386e-05,3,0.6945107380549113,0.00032970978453787116,3,0.5123165051142374,0.0005084429412879538,3,0.22222097714742026,8.712652287897515e-05,3,0.27504576245943707,0.0003037665349608178,3,0.27205989758173627,0.0002721241233899733,3,0.882745603720347,0.00043660811323607205,3,0.8421639204025269,0.002849498450235041,3,0.35602526863416034,8.822400746825567e-05,3,0.3860212763150533,0.0003157727149644333,3
itransformer,,long,0.2,0.41253159443537396,0.06304929205651943,3,0.5721777180830637,0.07878236930365612,3,0.3421544333299001,0.08591791111651238,3,0.5715934534867605,0.06396564722335954,3,0.6230589548746744,0.026940730197643654,3,0.14725135018428168,0.03445155710474314,3,0.37859976291656494,0.10689738272277287,3,0.4532328248023987,0.10415176937774373,3,0.7295995752016703,0.07060155143004056,3,0.9333218733469645,0.029269489553954222,3,0.2113357683022817,0.055504607998340276,3,0.5333985686302185,0.1360313895390794,3
