model,variant,pattern,rate,mae_mean_mean,mae_mean_std,mae_mean_count,rmse_mean_mean,rmse_mean_std,rmse_mean_count,mae_T_mean,mae_T_std,mae_T_count,mae_RH_mean,mae_RH_std,mae_RH_count,mae_wspd_mean,mae_wspd_std,mae_wspd_count,mae_P_mean,mae_P_std,mae_P_count,mae_q_mean,mae_q_std,mae_q_count,rmse_T_mean,rmse_T_std,rmse_T_count,rmse_RH_mean,rmse_RH_std,rmse_RH_count,rmse_wspd_mean,rmse_wspd_std,rmse_wspd_count,rmse_P_mean,rmse_P_std,rmse_P_count,rmse_q_mean,rmse_q_std,rmse_q_count
itransformer_era5,,long,0.2,0.26692964633305866,0.004868890318938676,3,0.3820975323518117,0.006102133418120949,3,0.16474885741869608,0.004193607691126603,3,0.46013020475705463,0.00422311434711995,3,0.4237681229909261,0.005092237249583425,3,0.06715871517856915,0.007336554661820195,3,0.21884235243002573,0.004805616140758799,3,0.22071977456410727,0.00599791243455775,3,0.6008846958478292,0.004955913778474959,3,0.6777762571970621,0.00886789697720306,3,0.09211843212445577,0.008115511740434966,3,0.31898850202560425,0.005421250892943588,3
itransformer_era5,,long,0.4,0.2610750198364258,0.00021387647406807852,3,0.37492193778355914,0.0005769072766112884,3,0.15973388652006784,7.631830181579935e-05,3,0.45562795797983807,0.0006358264558759579,3,0.4201705952485402,0.0010270218308342384,3,0.05576429391900698,0.0005349741402163255,3,0.21407844126224518,0.0016636143584545734,3,0.21538483599821726,0.000897060123895755,3,0.5981270472208658,0.00122399905032339,3,0.671733538309733,0.002395830442692341,3,0.07545709858338039,0.0021937561230075645,3,0.31390713651974994,0.0016542979964262552,3
itransformer_era5,,long,0.6,0.2601560254891713,0.0012023309846330098,3,0.37370481093724567,0.000999227218655927,3,0.1570266137520472,0.0007093023399389436,3,0.45489126443862915,0.0017319102887988372,3,0.42157981793085736,0.002024747759346628,3,0.05330997581283251,0.0004751714740015533,3,0.21397251387437186,0.002074848844116345,3,0.2122644086678823,0.0009294948322079071,3,0.5988658865292867,0.002615636033464181,3,0.6708962718645731,0.002137589835663082,3,0.07186536490917206,0.0008347537438506498,3,0.3146321475505829,0.0012053799889665563,3
itransformer_era5,,medium,0.2,0.26225024461746216,0.0007327046120404084,3,0.3738332192103068,0.0020118861072839114,3,0.16067343453566232,0.0008013890476727781,3,0.4522347648938497,0.0012974766012639834,3,0.41792812943458557,0.003949947394133464,3,0.06553315122922261,0.0021141969196447562,3,0.21488170325756073,0.0004213481183855705,3,0.2146665851275126,0.001260460111534069,3,0.592057486375173,0.0016935086791167858,3,0.665956974029541,0.00921555383518217,3,0.08445215970277786,0.0027791662327649866,3,0.31203291813532513,0.0012739661261170307,3
itransformer_era5,,medium,0.4,0.25943973660469055,0.0007871046850084292,3,0.37164082129796344,0.0011698199785202697,3,0.1580124000708262,0.0005842630618639222,3,0.4485193093617757,0.0021023928031639848,3,0.41823187470436096,0.0031595172734646833,3,0.05857172608375549,0.0012616228748595004,3,0.21386341750621796,0.0011250563942262152,3,0.21207465728123984,0.0001827147703687871,3,0.5895265539487203,0.002962148974396754,3,0.6683241526285807,0.0065117911523918,3,0.07632942497730255,0.0016447758090698602,3,0.3119493822256724,0.0007955696828407866,3
itransformer_era5,,medium,0.6,0.2592272063096364,0.0012175896190275387,3,0.3715150058269501,0.001097403186035671,3,0.15674249827861786,0.0009076555238888063,3,0.45045632123947144,0.004171080467079354,3,0.42092347145080566,0.0016536368314037902,3,0.05524310966332754,0.0007101299542916228,3,0.2127705862124761,0.0011455560323160984,3,0.2107830892006556,0.0010595140083887182,3,0.5916521747907003,0.0032823182811348686,3,0.670340915520986,0.002408011377343736,3,0.07252681752045949,0.001122776448887615,3,0.3122721016407013,0.0011755585915869725,3
itransformer_era5,,short,0.2,0.2521680990854899,0.0013109430356138848,3,0.36155184110005695,0.001723178814026144,3,0.15404072403907776,0.0024249346873458917,3,0.4268939296404521,0.0011749739800332904,3,0.40579158067703247,0.0016332020207152158,3,0.06624945004781087,0.002600002401210973,3,0.20786475638548532,0.0019561963134736436,3,0.20508096118768057,0.0028908342676436534,3,0.5637001792589823,0.0015808108477718583,3,0.6506897211074829,0.000985753279903672,3,0.0857736940185229,0.0034695995473757006,3,0.3025146424770355,0.0024699401515734794,3
itransformer_era5,,short,0.4,0.2506347397963206,0.0014081978648731396,3,0.3592848777770996,0.0015487569014624178,3,0.15132610003153482,0.0013129305186066228,3,0.4301768441994985,0.001303554980165594,3,0.4039244254430135,0.0016989227281164706,3,0.06149328127503395,0.0020646257923277937,3,0.20625296235084534,0.0010817899464333693,3,0.2026674449443817,0.0020347941839297793,3,0.5681079030036926,0.0012231951099870514,3,0.6446149945259094,0.005333135295218512,3,0.07973611851533254,0.002377850053016871,3,0.30129798253377277,0.0015382793382453714,3
itransformer_era5,,short,0.6,0.2511566678682963,0.0007469993194291001,3,0.3601805567741394,0.0012259652343573233,3,0.1512432744105657,0.0005135098908328326,3,0.43369053800900775,0.0019349272060142715,3,0.40854095419247943,0.0012932693493088458,3,0.055262586722771324,0.0007936259715502461,3,0.20704607168833414,0.0004983426864929849,3,0.20232054591178894,0.000818025091461096,3,0.5729565223058065,0.0016893915075248973,3,0.651491661866506,0.0028806715545177494,3,0.07172511518001556,0.001191929307787626,3,0.30240896344184875,0.0003732597539627986,3
saits_era5_concat,,long,0.2,0.2504914204279582,0.0324888912581638,3,0.4053666690985362,0.04065747270025572,3,0.13790575166543326,0.020772336554310204,3,0.2723290026187897,0.016475441877226722,3,0.63661261399587,0.09466054134503536,3,0.10298371811707814,0.05173001573128535,3,0.1026260107755661,0.00781840581465743,3,0.24485459427038828,0.05026911276447057,3,0.45878325899442035,0.028819761683550323,3,0.9000351627667745,0.10341236700880799,3,0.20202824473381042,0.06488402240533132,3,0.22113206485907236,0.02179842551704197,3
