split,variable,stations,mean_missing_rate,median_missing_rate,mean_block_steps,median_p90_block_steps,max_block_steps,total_blocks,total_long_blocks_ge_72,mean_long_block_missing_share
heldout,P,5,0.1065003202691583,0.07149100899100899,45.589300171359326,21.0,4595,19392,23,0.6561659320210309
heldout,RH,5,0.17730630559210409,0.13950387084592145,110.14941639858148,7.199999999999996,37756,632,24,0.8701498548141376
heldout,T,5,0.22416568156730848,0.2205919080919081,2.77985317694442,4.0,4599,33755,21,0.21035773129841173
heldout,wspd,5,0.325613261078934,0.31324925074925075,4.509089273780692,5.0,4599,32153,69,0.29335167597913214
main,P,27,0.13245482505863154,0.11755401805535001,55.39138369294237,11.5,29224,8708,234,0.8156287107178554
main,RH,27,0.30146674820074776,0.1964068209500609,619.5659041604815,7.0,75792,12085,239,0.8322146274871934
main,T,27,0.2050811021343234,0.20977980203701047,4.272235676286614,3.0,6093,93067,204,0.4318483593536645
main,wspd,27,0.4361770696198288,0.3883355362537764,8.911025140214578,6.0,20456,126523,454,0.47943190706735317
