perturbation,count,mean,std,delta_mae
mask_T,27,0.3132654196686215,0.024552255042093036,0.055868731052787224
mask_wspd,27,0.2977950263906408,0.014810783642080747,0.04039833777480656
mask_q,27,0.2947658123793425,0.021976415205686915,0.03736912376350826
downsample_24h,27,0.287563501684754,0.008094559488909673,0.030166813068919718
mask_P,27,0.28731582782886644,0.021969633405022625,0.029919139213032186
mask_RH,27,0.28031771823211954,0.014375183925343316,0.022921029616285282
downsample_12h,27,0.2647380652251067,0.007272725448774163,0.007341376609272421
downsample_6h,27,0.25818656716081834,0.007151066718575746,0.0007898785449840795
baseline,27,0.25739668861583426,0.007100479012896126,0.0
