run_name,config,checkpoint,pattern,rate,seed,perturbation,mae_T,rmse_T,mae_RH,rmse_RH,mae_wspd,rmse_wspd,mae_P,rmse_P,mae_q,rmse_q,mae_mean,rmse_mean
ecbit_full_long_r20_s42,experiments/configs/round2_gated/ecbit_full_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s42/best.pt,long,0.2,42,baseline,0.16851209104061127,0.2259402871131897,0.45082253217697144,0.5982401967048645,0.4311974346637726,0.6902814507484436,0.0658208429813385,0.08723768591880798,0.2227574735879898,0.32147184014320374,0.2678220868110657,0.3846342861652374
ecbit_full_long_r20_s42,experiments/configs/round2_gated/ecbit_full_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s42/best.pt,long,0.2,42,downsample_12h,0.17700257897377014,0.23621505498886108,0.4579714238643646,0.6064168214797974,0.44433093070983887,0.7067493200302124,0.06748158484697342,0.08907125145196915,0.23192225396633148,0.3346617817878723,0.2757417559623718,0.3946228623390198
ecbit_full_long_r20_s42,experiments/configs/round2_gated/ecbit_full_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s42/best.pt,long,0.2,42,downsample_24h,0.2003285139799118,0.2675418257713318,0.47835808992385864,0.6317729353904724,0.49031150341033936,0.7703006863594055,0.07211960107088089,0.09446417540311813,0.259138286113739,0.37562042474746704,0.30005118250846863,0.4279399812221527
ecbit_full_long_r20_s42,experiments/configs/round2_gated/ecbit_full_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s42/best.pt,long,0.2,42,downsample_6h,0.1699519008398056,0.2275308072566986,0.45138078927993774,0.598629355430603,0.43226757645606995,0.6916185617446899,0.06604987382888794,0.08746157586574554,0.22414898872375488,0.3233451247215271,0.2687598168849945,0.38571709394454956
ecbit_full_long_r20_s42,experiments/configs/round2_gated/ecbit_full_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s42/best.pt,long,0.2,42,mask_P,0.17702682316303253,0.234824076294899,0.4555927515029907,0.6020069718360901,0.44490405917167664,0.7157681584358215,0.20959578454494476,0.344258189201355,0.230063796043396,0.3291783928871155,0.30343663692474365,0.4452071189880371
ecbit_full_long_r20_s42,experiments/configs/round2_gated/ecbit_full_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s42/best.pt,long,0.2,42,mask_RH,0.17220494151115417,0.22983622550964355,0.55263751745224,0.7238346934318542,0.44463759660720825,0.7060019373893738,0.0669487714767456,0.08954206109046936,0.22825577855110168,0.32999086380004883,0.29293692111968994,0.4158411920070648
ecbit_full_long_r20_s42,experiments/configs/round2_gated/ecbit_full_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s42/best.pt,long,0.2,42,mask_T,0.46970945596694946,0.6075278520584106,0.47106626629829407,0.6149824857711792,0.4435906708240509,0.7134162783622742,0.06862028688192368,0.09103500843048096,0.23121649026870728,0.3323952257633209,0.3368406295776367,0.47187137603759766
ecbit_full_long_r20_s42,experiments/configs/round2_gated/ecbit_full_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s42/best.pt,long,0.2,42,mask_q,0.1721210926771164,0.22922773659229279,0.4542578160762787,0.6018744111061096,0.4312989413738251,0.6948031783103943,0.0671926960349083,0.08946698158979416,0.45522233843803406,0.6281015872955322,0.31601858139038086,0.44869479537010193
ecbit_full_long_r20_s42,experiments/configs/round2_gated/ecbit_full_long_r20_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s42/best.pt,long,0.2,42,mask_wspd,0.17068137228488922,0.22843900322914124,0.46014484763145447,0.6059821248054504,0.631250262260437,0.9412274956703186,0.07029978930950165,0.09343931078910828,0.2232132852077484,0.321911096572876,0.31111791729927063,0.43819981813430786
ecbit_full_long_r20_s43,experiments/configs/round2_gated/ecbit_full_long_r20_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_long_r20_s43/best.pt,long,0.2,43,baseline,0.16689004004001617,0.22305828332901,0.4497963786125183,0.5930812954902649,0.428756982088089,0.681887149810791,0.06023497134447098,0.08068197965621948,0.21986167132854462,0.3208051025867462,0.26510801911354065,0.37990278005599976
