comparison,method,method_mae,endpoint_anchor_mae,n,mean_diff,ci95_low,ci95_high,t,p
SAITS+ERA5 minus endpoint_anchor,SAITS+ERA5,0.24491117784270533,0.2999725601187459,27,-0.05506138227604054,-0.07157872337272404,-0.03854404117935703,-6.852210143162534,2.8369404504617074e-07
ECBIT gated minus endpoint_anchor,ECBIT gated,0.2577214075459374,0.2999725601187459,27,-0.04225115257280844,-0.053468070340604565,-0.03103423480501231,-7.742633914937133,3.247657758162865e-08
ECBIT concat minus endpoint_anchor,ECBIT concat,0.2579758376986892,0.2999725601187459,27,-0.04199672242005665,-0.05370025613966864,-0.030293188700444663,-7.376020040535373,7.832236194326677e-08
iTransformer+ERA5 minus endpoint_anchor,iTransformer+ERA5,0.2581152651045058,0.2999725601187459,27,-0.041857295014240126,-0.05406619334670722,-0.029648396681773034,-7.04722897846786,1.7500153418088055e-07
