config,run_name,pattern,rate,seed,mode,mae_T,rmse_T,mae_RH,rmse_RH,mae_wspd,rmse_wspd,mae_P,rmse_P,mae_q,rmse_q,mae_mean,rmse_mean
experiments/configs/round1/era5_direct_long_r20_s42.yaml,era5_direct_long_r20_s42,long,0.2,42,station_month_bias,0.15861929953098297,0.2185482531785965,0.5207064747810364,0.6780372262001038,0.4378461539745331,0.7158024311065674,0.012757239863276482,0.017762843519449234,0.2196590006351471,0.33564040064811707,0.26991763710975647,0.3931582570075989
experiments/configs/round1/era5_direct_long_r20_s42.yaml,era5_direct_long_r20_s42,long,0.2,42,endpoint_anchor,0.19117183983325958,0.2615855038166046,0.6361593008041382,0.8493264317512512,0.5582227110862732,0.9546748995780945,0.01182287186384201,0.019717246294021606,0.2792060673236847,0.4164499342441559,0.33531653881073,0.500350832939148
experiments/configs/round1/era5_direct_long_r20_s43.yaml,era5_direct_long_r20_s43,long,0.2,43,station_month_bias,0.15857909619808197,0.21940799057483673,0.522041380405426,0.6811369061470032,0.43655577301979065,0.713975727558136,0.012670781463384628,0.01751132868230343,0.21950489282608032,0.3345050811767578,0.2698703706264496,0.3933073878288269
experiments/configs/round1/era5_direct_long_r20_s43.yaml,era5_direct_long_r20_s43,long,0.2,43,endpoint_anchor,0.188139408826828,0.25839149951934814,0.6414894461631775,0.853106677532196,0.5676023364067078,0.9872986674308777,0.011919191107153893,0.018432611599564552,0.2785787582397461,0.42258018255233765,0.33754581212997437,0.5079619288444519
experiments/configs/round1/era5_direct_long_r20_s44.yaml,era5_direct_long_r20_s44,long,0.2,44,station_month_bias,0.15750528872013092,0.21772196888923645,0.5200607180595398,0.6796010136604309,0.43594688177108765,0.7089651226997375,0.012642835266888142,0.017384370788931847,0.21993868052959442,0.3337596654891968,0.2692188620567322,0.39148643612861633
experiments/configs/round1/era5_direct_long_r20_s44.yaml,era5_direct_long_r20_s44,long,0.2,44,endpoint_anchor,0.19079184532165527,0.26367324590682983,0.631418764591217,0.8424800634384155,0.5703229904174805,1.0078283548355103,0.011937861330807209,0.01948309876024723,0.27549126744270325,0.41725608706474304,0.3359925448894501,0.5101441144943237
experiments/configs/round1/era5_direct_long_r40_s42.yaml,era5_direct_long_r40_s42,long,0.4,42,station_month_bias,0.15814700722694397,0.2164764702320099,0.5187143683433533,0.6761861443519592,0.4391935467720032,0.7141151428222656,0.012707844376564026,0.01749025471508503,0.21994970738887787,0.3335762917995453,0.269742488861084,0.3915688693523407
experiments/configs/round1/era5_direct_long_r40_s42.yaml,era5_direct_long_r40_s42,long,0.4,42,endpoint_anchor,0.19074635207653046,0.26244619488716125,0.6393510699272156,0.852939248085022,0.5717824697494507,0.9940226078033447,0.011763322167098522,0.018426595255732536,0.2819356620311737,0.42233389616012573,0.33911579847335815,0.5100337266921997
experiments/configs/round1/era5_direct_long_r40_s43.yaml,era5_direct_long_r40_s43,long,0.4,43,station_month_bias,0.1575615406036377,0.21607324481010437,0.5184513330459595,0.6770106554031372,0.4382613003253937,0.713335394859314,0.012637725099921227,0.017266225069761276,0.22024451196193695,0.3336116075515747,0.26943129301071167,0.3914594352245331
experiments/configs/round1/era5_direct_long_r40_s43.yaml,era5_direct_long_r40_s43,long,0.4,43,endpoint_anchor,0.1898270547389984,0.261983722448349,0.6463974714279175,0.8591384291648865,0.5765380263328552,1.0004600286483765,0.012008633464574814,0.018750352784991264,0.28230470418930054,0.42531344294548035,0.3414151668548584,0.5131291747093201
experiments/configs/round1/era5_direct_long_r40_s44.yaml,era5_direct_long_r40_s44,long,0.4,44,station_month_bias,0.15733858942985535,0.2157760113477707,0.5186759829521179,0.6764397025108337,0.43842339515686035,0.7125970721244812,0.012666923925280571,0.017245791852474213,0.22042083740234375,0.33295056223869324,0.2695051431655884,0.3910018503665924
experiments/configs/round1/era5_direct_long_r40_s44.yaml,era5_direct_long_r40_s44,long,0.4,44,endpoint_anchor,0.19247683882713318,0.26541727781295776,0.6431463956832886,0.8575232625007629,0.5711259841918945,0.9881758093833923,0.01196788065135479,0.01882348209619522,0.281197190284729,0.4248752295970917,0.33998286724090576,0.5109630227088928
experiments/configs/round1/era5_direct_long_r60_s42.yaml,era5_direct_long_r60_s42,long,0.6,42,station_month_bias,0.15785138309001923,0.2180214524269104,0.518181562423706,0.6756154298782349,0.4373282194137573,0.7085241675376892,0.012704211287200451,0.017406733706593513,0.2193526327610016,0.3319839537143707,0.2690836191177368,0.3903103470802307
experiments/configs/round1/era5_direct_long_r60_s42.yaml,era5_direct_long_r60_s42,long,0.6,42,endpoint_anchor,0.19173218309879303,0.2638987600803375,0.6504752039909363,0.8657263517379761,0.572736918926239,0.9965190291404724,0.011932315304875374,0.0191673431545496,0.28245505690574646,0.4219028651714325,0.3418663442134857,0.513442873954773
experiments/configs/round1/era5_direct_long_r60_s43.yaml,era5_direct_long_r60_s43,long,0.6,43,station_month_bias,0.15744373202323914,0.21785755455493927,0.5188791751861572,0.6769409775733948,0.4363612234592438,0.707787036895752,0.012647119350731373,0.017309850081801414,0.21843232214450836,0.3297482132911682,0.26875272393226624,0.3899287283420563
experiments/configs/round1/era5_direct_long_r60_s43.yaml,era5_direct_long_r60_s43,long,0.6,43,endpoint_anchor,0.19186076521873474,0.2650025486946106,0.6570206880569458,0.8698136210441589,0.5774151682853699,0.9991125464439392,0.012029819190502167,0.01891569048166275,0.2819189131259918,0.42295145988464355,0.34404903650283813,0.5151591897010803
experiments/configs/round1/era5_direct_long_r60_s44.yaml,era5_direct_long_r60_s44,long,0.6,44,station_month_bias,0.1578115075826645,0.2181801199913025,0.5176946520805359,0.6750479936599731,0.43744316697120667,0.7093023061752319,0.012704581022262573,0.01741703785955906,0.2191554307937622,0.3305618464946747,0.2689618766307831,0.3901018500328064
